rate                           truePositiveOnPositive       trueNegativeOnNegative      positiveRate            negativeRate              trueRate
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
-0.1761855872967687            0.4268321795177847           1.0                         0.9994725804628735      5.274195371265682E-4      0.4271344794243592
-0.140681734945704             0.4268321795177847           1.0                         0.9994725804628735      5.274195371265682E-4      0.4271344794243592
-0.1051778825946392            0.4268321795177847           1.0                         0.9994725804628735      5.274195371265682E-4      0.4271344794243592
-0.0696740302435744            0.4268321795177847           1.0                         0.9994725804628735      5.274195371265682E-4      0.4271344794243592
-0.0341701778925096            0.4425511958730655           1.0                         0.9639722225710446      0.036027777428955333      0.462634837316188
0.00133367445855508            0.5003683838264765           0.9987254652052001          0.8522095111323195      0.14779048886768048       0.5740208205141085
0.03683752680961988            0.6584016027611925           0.973305954825462           0.6330666934562305      0.36693330654376954       0.7739504979091583
0.07234137916068464            0.6683468966354913           0.968347941127832           0.6203207213090051      0.37967927869099494       0.7822510768148883
0.1078452315117494             0.7481431966726084           0.9043602354680054          0.5072269034194367      0.49277309658056334       0.8251227506184622
0.1433490838628142             0.75956462721834             0.9057740081804723          0.4995667625230746      0.5004332374769254        0.8327326610827169
0.17885293621387893            0.765409267093963            0.9063994023904383          0.4956864616427863      0.5043135383572137        0.8365125010987907
0.21435678856494372            0.8068677568717716           0.9095102909865153          0.46918990870618965     0.5308100912938104        0.8613514497758467
0.24986064091600851            0.8379348733648762           0.911562135322518           0.45119485640375223     0.5488051435962478        0.8783418934361383
0.28536449326707325            0.838962269408683            0.9116510846458042          0.450642321650572       0.549357678349428         0.8788944281893185
0.32086834561813804            0.8380542573805996           0.8975550616286119          0.4406715808772745      0.5593284191227255        0.871334748157171
0.3563721979692028             0.85339658885849             0.897272225289895           0.43145429658558637     0.5685457034144136        0.8783418934361383
0.39187605032026757            0.8653613301438233           0.8979725596434501          0.4252131653962553      0.5747868346037447        0.8841058355204501
0.42737990267133236            0.865770423991727            0.8980082117585394          0.42501224366782614     0.5749877563321738        0.8843067572488792
0.46288375502239715            0.865770423991727            0.8980082117585394          0.42501224366782614     0.5749877563321738        0.8843067572488792
0.4983876073734618             0.8828049662487946           0.899308919460053           0.4167116647620961      0.5832883352379039        0.8924315296422337
0.5338914597245266             0.8905067331367602           0.8999272509414584          0.4131076312583979      0.5868923687416021        0.8960355631459319
0.5693953120755915             0.8905067331367602           0.8999272509414584          0.4131076312583979      0.5868923687416021        0.8960355631459319
0.6048991644266561             0.8970574698536405           0.899324008332979           0.40926500320219006     0.5907349967978099        0.8983963934549747
0.640403016777721              0.8996799606105367           0.8995269109192354          0.40807203043964185     0.5919279695603581        0.8995893662175228
0.6759068691287857             0.9097043190426175           0.8882067449288589          0.3945474865947534      0.6054525134052465        0.8966885587633268
0.7114107214798504             0.9237879767291532           0.8893064711560184          0.38853239234990516     0.6114676076500948        0.902703653008175
0.7469145738309153             0.9237805863529107           0.8892516839165434          0.3884947195258247      0.6115052804741753        0.9026659801840945
0.78241842618198               0.9237805863529107           0.8892516839165434          0.3884947195258247      0.6115052804741753        0.9026659801840945
0.8179222785330449             0.9236027863275554           0.887938812335958           0.38759057174789346     0.6124094282521065        0.9017618324061633
0.8534261308841096             0.9236027863275554           0.887938812335958           0.38759057174789346     0.6124094282521065        0.9017618324061633
0.8889299832351742             0.9186054539178461           0.8547263288790636          0.3637939045370638      0.6362060954629363        0.8779651651953336
0.9244338355862391             0.9340778983598497           0.8558248631743549          0.3575527733477327      0.6424472266522673        0.8838044529278063
0.9599376879373038             0.9438039825087637           0.8488125938185597          0.34748157171022065     0.6525184282897794        0.8818203508595682
0.9954415402883685             0.9084484420173466           0.6904538927389648          0.1954591689375008      0.8045408310624992        0.7330629261738224
1.0309453926394334             0.9813664596273292           0.5745168109522851          0.0020217748923185112   0.9979782251076815        0.5753393693569249
1.066449244990498              0.0                          0.5733822255151888          2.51152160536461E-5     0.9999748847839464        0.5733678248967137
1.101953097341563              0.0                          0.5733875828812538          1.255760802682305E-5    0.9999874423919731        0.5733803825047405
1.1374569496926277             0.0                          0.5733875828812538          1.255760802682305E-5    0.9999874423919731        0.5733803825047405
1.1729608020436924             0.0                          0.5733875828812538          1.255760802682305E-5    0.9999874423919731        0.5733803825047405
1.2084646543947573             NaN                          0.5733929401127673          0.0                     1.0                       0.5733929401127673
