positive threshold (0.27419091263896905,Rates(0.9865030674846625,0.9975037147102526,0.5667010043780581,0.4332989956219418,0.9912696368787021))
negative threshold  (0.27419091263896905,Rates(0.9865030674846625,0.9975037147102526,0.5667010043780581,0.4332989956219418,0.9912696368787021))

                           truePosiOnPositive    trueNegaOnNegative    positiveRate           negativeRate             trueRate
-0.3724336495762625        0.5601225887867316    0.0                   0.9999742467164563     2.5753283543651817E-5    0.5601081637908834
-0.31854826939165987       0.5601225887867316    0.0                   0.9999742467164563       2.5753283543651817E-5   0.5601081637908834
-0.2646628892070573        0.5601658682326276    0.75                  0.9998969868658254     1.0301313417460727E-4     0.5601854236415142
-0.21077750902245462       0.5602266872746007    0.8                   0.9997424671645635       2.575328354365182E-4    0.5602884367756888
-0.15689212883785197       0.560371038392167     0.9                   0.999484934329127   5.150656708730364E-4      0.5605459696111255
-0.10300674865324932       0.5606744180051045    0.9512195121951219    0.9989441153747103       0.0010558846252897245      0.5610867885655421
-0.04912136846864673       0.5641211869682506    0.9928057553956835    0.9928405871748648       0.0071594128251352045      0.5671903167653876
0.004764011715955918       0.8013930861649591    0.9995725034199726    0.6987895956734483       0.30121040432655166        0.8610867885655421

0.05864939190055857        0.9565619223659889    0.9990687856965483    0.5851661086788565     0.41483389132114346     0.9741952098892609
0.11253477208516122        0.9748351500471       0.9989115317167564    0.57411795003863    0.4258820499613701    0.9850888488282256
0.16642015226976387        0.980413394710714     0.9984404990403071    0.5706412567602369    0.4293587432397631    0.9881534895699202
0.22030553245436651        0.9829810347168787    0.9980283204875425    0.5689672933298996     0.43103270667010046     0.9894669070306464
0.27419091263896905        0.9865030674846625    0.9975037147102526    0.5667010043780581     0.4332989956219418      0.9912696368787021


0.3280762928235717         0.9877498975363177    0.9964436014462688    0.5655163533350502   0.43448364666494976      0.9915271697141386


0.38196167300817435        0.9884308144339363    0.9870952604411075    0.5609580221478239     0.43904197785217614     0.9878444501673963
0.435847053192777          0.9889068638779756    0.9793544635068334    0.557172289466907      0.44282771053309294       0.9846767962915272
0.48973243337737965        0.9892383337971983    0.9754515979620194    0.5551892866340459     0.4448107133659542      0.9831058459953644
0.5436178135619822         0.9896404348230048    0.9741678224687933    0.554365181560649    0.44563481843935104      0.9827453000257533Rates
0.5975031937465849         0.9898623511904762    0.9732194389934203    0.5537986093226887   0.44620139067731135      0.9824362606232294
0.6513885739311875         0.990086567997766     0.9724976937269373    0.553335050218903       0.4466649497810971     0.9822302343548802
0.7052739541157902         0.9904419992540097    0.9708318950638591    0.5523564254442441   0.4476435745557559       0.9816636621169199
0.7591593343003928         0.9908038465129306    0.9698414522058824    0.5516868400721092   0.4483131599278908       0.9814061292814834
0.8130447144849955         0.9912471612414837    0.9548434497569798    0.5443214009786248   0.45567859902137525      0.9746587689930466
0.8669300946695981         0.9916954009033073    0.9270793354898843    0.5302858614473346   0.46971413855266547      0.9613443214009786
0.9208154748542006         0.9992077639136463    0.9157454116131802    0.5201133144475921   0.47988668555240793      0.9591552922997683

0.9747008550388032         0.9996428753635018    0.8878776847469967    0.5047901107391193   0.4952098892608808       0.9442956476950811
1.0285862352234059         0.9992012779552716    0.4544946511256586    0.03224311099665207  0.9677568890033479   0.47205768735513776
1.0824716154080085         1.0       0.45039818574969676     0.023383981457635847      0.9766160185423641      0.46325006438320887
1.1363569955926112         1.0       0.4453135184460957      0.012232809683234612      0.9877671903167654     0.45209889260880765
1.1902423757772138         1.0       0.4439130886786568      0.009116662374452742      0.9908833376255473     0.44898274530002574
1.2441277559618165         1.0       0.44357875600571356     0.00836981715168684       0.9916301828483132      0.44823590007725983
1.298013136146419          1.0       0.4432219223583143     0.007571465361833634        0.9924285346381664  0.4474375482874066
1.3518985163310218         1.0       0.4429345711988797      0.006927633273242338      0.9930723667267577     0.44679371619881536
1.4057838965156244         1.0       0.44246412102999844     0.005871748647952614      0.9941282513520474      0.44573783157352564
1.459669276700227          1.0       0.44000206089958266        3.090394025238218E-4    0.9996909605974762       0.44017512232809686
1.5135546568848297         1.0       0.43990006953923816     7.725985063095544E-5      0.999922740149369       0.43994334277620395
1.5674400370694324         1.0       0.43990006953923816     7.725985063095544E-5      0.999922740149369       0.43994334277620395
1.621325417254035          1.0       0.43990006953923816        7.725985063095544E-5    0.999922740149369    0.43994334277620395
1.6752107974386377         1.0       0.43987741121326845     2.5753283543651817E-5     0.9999742467164563      0.43989183620911665
