2020-03-24 10:45:00.0;6298.7;-;-208.59999999999945;Some(-19.455555557382354);Some(-16.443209879873983);None;None;274.15714772000035;None;Some(true);false
2020-03-24 11:00:00.0;6282.0;-;-208.59999999999945;Some(-33.444444447905184);Some(-3.14197530759126);Some(6288.1);Some(1193.4459079200003);1193.4459079200003;Some(3112);Some(false);false
2020-03-24 11:15:00.0;6238.5;-;-208.59999999999945;Some(-25.111111110461383);Some(14.475308643629603);None;None;260.23218286999986;None;Some(false);false
2020-03-24 11:30:00.0;6236.8;-;-208.59999999999945;Some(-7.3888888886978386);Some(-6.604938271263368);None;None;154.96154831999993;None;Some(false);false
2020-03-24 11:45:00.0;6225.2;-;-208.59999999999945;Some(-36.99999999904301);Some(-9.44444444395562);None;None;94.58790872999998;None;Some(false);false
2020-03-24 12:00:00.0;6170.2;-;-208.59999999999945;Some(-24.388888888257746);Some(32.19135802453093);Some(6226.4);Some(875.0378436299997);875.0378436299997;Some(2624);Some(false);false
2020-03-24 12:15:00.0;6181.3;-;-208.59999999999945;Some(20.94444444661168);Some(32.283950619789344);None;None;140.80536125999993;None;Some(false);false
2020-03-24 12:30:00.0;6207.9;-;-208.59999999999945;Some(33.722222221349725);Some(-13.364197531677602);None;None;160.46397020999996;None;Some(false);false
2020-03-24 12:45:00.0;6242.0;-;-208.59999999999945;Some(-3.1111111110303233);Some(-48.672839503654444);None;None;147.9278457299999;None;Some(false);false
2020-03-24 13:00:00.0;6202.3;-;-208.59999999999945;Some(-53.88888888749478);Some(-22.65432098648235);Some(6249.6);Some(4297.9203367499995);4297.9203367499995;Some(7151);Some(false);false
2020-03-24 13:15:00.0;6145.0;-;-208.59999999999945;Some(-43.88888888775348);Some(41.48148148082823);None;None;319.21748718999993;None;Some(false);false
2020-03-24 13:30:00.0;6123.3;-;-208.59999999999945;Some(20.777777779927668);Some(56.08024691793259);None;None;277.2057385200003;None;Some(false);false
2020-03-24 13:45:00.0;6182.4;-;-208.59999999999945;Some(57.055555554079426);Some(3.7654320970777135);None;None;144.37758780999988;None;Some(false);false
2020-03-24 14:00:00.0;6226.0;-;-208.59999999999945;Some(27.555555554842893);Some(-28.117283949162324);Some(6206.8);Some(870.07900082);870.07900082;Some(2379);Some(false);false
2020-03-24 14:15:00.0;6232.0;-;-208.59999999999945;Some(6.444444444277928);Some(-17.99382715956288);None;None;149.41477826999989;None;Some(false);false
2020-03-24 14:30:00.0;6237.6;-;-208.59999999999945;Some(-4.833333333208194);Some(-7.932098765584829);None;None;147.54323874000002;None;Some(false);false
2020-03-24 14:45:00.0;6223.3;-;-208.59999999999945;Some(-7.833333334144131);Some(8.05555555618058);None;None;90.53323746;None;Some(false);false
2020-03-24 15:00:00.0;6223.5;-;-208.59999999999945;Some(9.666666666416388);Some(14.907407407199065);Some(6220.1);Some(691.3841915100002);691.3841915100002;Some(2143);Some(false);false
2020-03-24 15:15:00.0;6240.7;-;-208.59999999999945;Some(18.99999999950837);Some(-21.296296295194143);None;None;70.32238452000004;None;Some(false);false
2020-03-24 15:30:00.0;6257.7;-;-208.59999999999945;Some(-28.666666665924755);Some(-54.25925925645166);None;None;141.66122417000008;None;Some(false);false
2020-03-24 15:45:00.0;6189.1;-;-208.59999999999945;Some(-78.66666666463125);Some(-14.629629632825234);None;None;200.61687923999978;None;Some(false);false
2020-03-24 16:00:00.0;6116.1;-;-208.59999999999945;Some(-55.00000000569142);Some(28.154320987724414);Some(6190.5);Some(1436.86981126);1436.86981126;Some(3676);Some(false);false
